unique_items,total_purchase_quantity,total_return_quantity,net_quantity,uniq_departments,departments_with_returns
1,0,1,-1,1,1
1,0,1,-1,1,1
2,0,2,-2,2,2
2,2,0,2,1,0
8,1,7,-6,4,3
1,0,1,-1,1,1
1,1,1,0,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,1,0,1,1,0
2,0,2,-2,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,0,2,-2,2,2
2,2,0,2,1,0
2,2,0,2,1,0
1,0,1,-1,1,1
2,2,0,2,1,0
1,1,1,0,1,1
1,1,0,1,1,0
4,0,4,-4,2,2
1,0,1,-1,1,1
2,2,2,0,1,1
3,3,0,3,3,0
1,1,1,0,1,1
2,2,1,1,2,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
2,2,0,2,1,0
1,1,0,1,1,0
2,1,2,-1,2,1
1,0,1,-1,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,5,-5,1,1
4,5,0,5,3,0
3,0,4,-4,1,1
1,0,3,-3,1,1
1,1,1,0,1,1
2,2,0,2,1,0
2,1,1,0,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,1,1,0,1,1
2,1,1,0,2,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,0,3,-3,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
3,2,1,1,1,1
2,0,2,-2,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,2,-2,1,1
1,0,1,-1,1,1
2,0,4,-4,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
30,0,52,-52,10,10
2,1,1,0,1,1
2,1,1,0,2,1
1,0,1,-1,1,1
3,0,3,-3,2,2
6,0,15,-15,1,1
3,1,2,-1,3,2
1,0,1,-1,1,1
2,0,2,-2,2,2
2,3,0,3,2,0
1,1,0,1,1,0
1,2,2,0,1,1
1,1,1,0,1,1
1,1,0,1,1,0
2,2,0,2,2,0
1,1,1,0,1,1
1,0,1,-1,1,1
2,0,2,-2,2,2
2,2,0,2,1,0
2,2,0,2,2,0
1,0,1,-1,1,1
2,2,0,2,2,0
1,0,1,-1,1,1
1,2,2,0,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
3,0,5,-5,3,3
1,0,2,-2,1,1
1,1,0,1,1,0
3,0,3,-3,1,1
2,2,2,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
6,0,6,-6,3,3
1,0,1,-1,1,1
2,1,1,0,1,1
2,2,2,0,2,2
2,2,0,2,1,0
2,0,2,-2,2,2
2,1,1,0,2,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,2,0,2,1,0
4,4,0,4,2,0
2,0,2,-2,2,2
2,2,0,2,1,0
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,2,-2,1,1
2,2,1,1,2,1
2,2,7,-5,2,2
2,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,2,0,2,1,0
5,5,0,5,4,0
2,0,2,-2,1,1
2,1,1,0,2,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,2,-2,1,1
1,0,1,-1,1,1
4,8,8,0,2,2
2,6,0,6,2,0
1,2,2,0,1,1
2,0,2,-2,1,1
1,0,1,-1,1,1
2,2,2,0,2,2
2,2,0,2,1,0
2,2,0,2,1,0
1,0,1,-1,1,1
2,0,2,-2,2,2
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
2,1,1,0,1,1
2,0,2,-2,1,1
2,0,2,-2,1,1
1,0,1,-1,1,1
4,0,4,-4,2,2
3,0,4,-4,1,1
1,0,2,-2,1,1
1,0,1,-1,1,1
2,1,6,-5,2,1
1,4,0,4,1,0
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
3,3,0,3,2,0
1,0,1,-1,1,1
1,0,1,-1,1,1
4,1,4,-3,2,1
2,1,1,0,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
2,2,0,2,2,0
2,1,1,0,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
2,2,0,2,1,0
3,3,0,3,2,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,2,0,2,1,0
2,2,0,2,2,0
1,0,1,-1,1,1
4,2,2,0,1,1
2,1,1,0,2,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
2,1,1,0,2,1
1,1,1,0,1,1
1,0,1,-1,1,1
2,2,0,2,2,0
1,2,0,2,1,0
4,0,5,-5,1,1
2,0,2,-2,1,1
2,0,3,-3,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
2,3,0,3,1,0
3,3,0,3,3,0
3,0,3,-3,1,1
2,2,0,2,1,0
4,4,0,4,3,0
3,3,0,3,3,0
1,1,0,1,1,0
2,2,0,2,1,0
3,4,0,4,3,0
1,0,1,-1,1,1
1,1,0,1,1,0
2,0,2,-2,2,2
2,0,3,-3,1,1
2,3,3,0,1,1
2,1,3,-2,1,1
2,1,1,0,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
2,2,0,2,2,0
2,2,0,2,1,0
1,0,1,-1,1,1
1,1,0,1,1,0
1,2,2,0,1,1
2,2,0,2,2,0
3,3,0,3,3,0
1,2,0,2,1,0
2,3,0,3,1,0
1,2,2,0,1,1
3,4,0,4,2,0
2,6,0,6,2,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
3,0,3,-3,1,1
2,2,0,2,1,0
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
2,0,2,-2,1,1
6,0,6,-6,2,2
2,1,1,0,2,1
2,0,2,-2,2,2
1,1,0,1,1,0
1,1,0,1,1,0
1,1,0,1,1,0
1,1,0,1,1,0
2,2,2,0,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
4,0,6,-6,3,3
1,0,1,-1,1,1
1,2,2,0,1,1
1,0,1,-1,1,1
2,1,1,0,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
3,1,2,-1,2,1
1,0,1,-1,1,1
3,0,3,-3,2,2
1,0,2,-2,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
2,1,1,0,2,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,1,2,-1,3,2
2,1,1,0,2,1
3,0,3,-3,1,1
2,2,0,2,1,0
2,1,1,0,2,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,2,0,2,1,0
1,0,2,-2,1,1
2,1,1,0,2,1
2,1,1,0,2,1
2,1,1,0,1,1
3,1,2,-1,3,2
2,0,2,-2,2,2
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,1,1,0,2,1
2,1,1,0,2,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,3,0,3,2,0
1,1,1,0,1,1
7,0,7,-7,3,3
1,0,2,-2,1,1
1,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
2,2,0,2,1,0
2,1,1,0,1,1
1,0,1,-1,1,1
3,0,3,-3,2,2
2,0,2,-2,2,2
1,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,2,0,2,1,0
2,2,0,2,2,0
2,2,0,2,2,0
3,0,3,-3,2,2
2,2,0,2,2,0
1,2,0,2,1,0
1,1,0,1,1,0
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,1,0,1,1,0
2,0,2,-2,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
12,1,11,-10,4,3
8,4,4,0,2,2
4,5,5,0,4,4
4,5,0,5,4,0
4,0,4,-4,3,3
1,2,2,0,1,1
1,0,1,-1,1,1
2,1,1,0,2,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,2,1,1,3,1
2,0,2,-2,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
4,0,4,-4,4,4
1,0,1,-1,1,1
3,1,4,-3,1,1
1,0,1,-1,1,1
2,2,0,2,2,0
1,0,1,-1,1,1
2,2,2,0,2,2
2,1,1,0,2,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,2,1,1,2,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,2,1,1,1,1
1,0,1,-1,1,1
1,2,0,2,1,0
1,1,1,0,1,1
2,2,0,2,1,0
2,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,2,1,1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
2,2,1,1,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,0,2,-2,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,2,2,0,1,1
4,4,4,0,3,3
2,1,1,0,1,1
3,3,0,3,3,0
1,1,0,1,1,0
2,1,1,0,1,1
1,1,2,-1,1,1
2,2,2,0,2,2
1,1,1,0,1,1
2,1,1,0,2,1
2,9,0,9,2,0
1,0,1,-1,1,1
1,0,1,-1,1,1
4,17,23,-6,2,2
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
3,0,4,-4,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
2,1,1,0,2,1
1,1,1,0,1,1
1,0,1,-1,1,1
3,0,4,-4,1,1
1,0,2,-2,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,2,2,0,1,1
2,0,2,-2,1,1
1,0,1,-1,1,1
2,0,2,-2,2,2
2,1,1,0,1,1
1,1,1,0,1,1
2,2,0,2,1,0
2,2,0,2,2,0
2,0,2,-2,2,2
1,1,1,0,1,1
4,4,0,4,1,0
1,0,1,-1,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,0,3,-3,1,1
2,2,0,2,1,0
3,3,0,3,2,0
2,0,2,-2,1,1
2,0,2,-2,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,0,3,-3,2,2
2,0,2,-2,2,2
1,2,2,0,1,1
1,0,1,-1,1,1
2,1,1,0,2,1
2,0,2,-2,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,2,2,0,3,2
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
2,1,1,0,1,1
1,0,1,-1,1,1
2,4,1,3,2,1
8,9,1,8,3,1
2,1,1,0,2,1
13,15,0,15,5,0
3,3,3,0,2,2
2,2,0,2,1,0
1,1,0,1,1,0
1,1,0,1,1,0
2,3,3,0,1,1
1,2,2,0,1,1
3,3,0,3,2,0
2,2,0,2,1,0
2,2,0,2,2,0
1,1,1,0,1,1
2,2,0,2,2,0
3,3,3,0,2,2
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
3,0,3,-3,1,1
1,0,2,-2,1,1
1,0,2,-2,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
6,7,0,7,3,0
1,1,0,1,1,0
1,0,1,-1,1,1
2,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
2,4,0,4,1,0
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
2,2,0,2,1,0
2,2,0,2,1,0
2,1,1,0,2,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,1,0,1,1,0
2,2,0,2,1,0
2,2,1,1,2,1
1,0,2,-2,1,1
1,1,0,1,1,0
2,2,0,2,2,0
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
2,1,1,0,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
3,3,2,1,3,2
4,4,1,3,3,1
2,0,2,-2,1,1
2,1,1,0,2,1
1,1,0,1,1,0
1,1,0,1,1,0
2,8,8,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
3,0,3,-3,3,3
5,0,5,-5,3,3
1,0,1,-1,1,1
2,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,0,3,-3,2,2
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,2,-2,1,1
1,0,1,-1,1,1
1,0,2,-2,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
5,5,3,2,5,3
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,2,-1,1,1
2,1,1,0,2,1
2,2,0,2,1,0
1,0,1,-1,1,1
2,4,4,0,1,1
1,0,1,-1,1,1
2,2,2,0,1,1
2,2,0,2,2,0
11,13,7,6,7,3
1,0,1,-1,1,1
1,0,1,-1,1,1
2,1,1,0,2,1
1,0,1,-1,1,1
2,1,1,0,1,1
2,1,1,0,2,1
1,0,2,-2,1,1
2,2,0,2,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
3,4,0,4,2,0
1,0,1,-1,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
4,0,4,-4,2,2
1,0,1,-1,1,1
1,1,1,0,1,1
3,2,1,1,2,1
1,1,1,0,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
2,2,2,0,2,2
1,1,1,0,1,1
3,3,0,3,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
4,0,4,-4,2,2
1,1,0,1,1,0
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
5,0,5,-5,1,1
1,1,0,1,1,0
2,2,0,2,1,0
2,2,0,2,1,0
1,1,0,1,1,0
1,1,1,0,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,1,1,0,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,1,0,1,1,0
1,2,0,2,1,0
4,2,2,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
3,2,1,1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
3,0,3,-3,3,3
2,6,0,6,1,0
1,1,1,0,1,1
1,1,1,0,1,1
2,2,0,2,1,0
3,0,3,-3,2,2
5,5,5,0,3,3
2,2,0,2,1,0
4,0,4,-4,2,2
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
6,7,0,7,2,0
1,1,0,1,1,0
1,1,1,0,1,1
9,9,0,9,7,0
1,2,2,0,1,1
1,1,1,0,1,1
2,2,1,1,1,1
1,0,1,-1,1,1
2,0,2,-2,2,2
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,3,0,3,1,0
1,1,0,1,1,0
2,2,1,1,2,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,2,0,2,1,0
1,1,1,0,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
4,0,4,-4,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
4,0,4,-4,2,2
1,4,4,0,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
2,1,1,0,2,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,1,1,0,1,1
2,2,0,2,2,0
5,0,5,-5,1,1
1,0,1,-1,1,1
1,1,0,1,1,0
3,4,4,0,3,3
1,0,1,-1,1,1
6,6,0,6,4,0
1,0,4,-4,1,1
2,2,0,2,1,0
2,0,2,-2,1,1
1,0,1,-1,1,1
2,0,2,-2,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,2,0,2,2,0
1,0,1,-1,1,1
1,0,2,-2,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,1,1,0,2,1
2,2,2,0,1,1
2,1,1,0,2,1
2,1,1,0,2,1
1,0,1,-1,1,1
1,1,0,1,1,0
1,0,1,-1,1,1
1,0,1,-1,1,1
2,0,2,-2,2,2
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
4,5,0,5,2,0
1,0,4,-4,1,1
1,0,1,-1,1,1
2,2,0,2,1,0
3,3,0,3,1,0
6,6,0,6,2,0
1,0,1,-1,1,1
1,0,2,-2,1,1
1,2,0,2,1,0
3,6,0,6,2,0
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
1,0,1,-1,1,1
2,0,2,-2,2,2
2,2,2,0,1,1
5,0,5,-5,2,2
2,2,2,0,2,2
7,7,0,7,6,0
42,50,0,50,10,0
5,22,0,22,2,0
33,55,0,55,6,0
16,20,0,20,10,0
22,30,0,30,11,0
25,35,0,35,11,0
33,48,0,48,12,0
23,30,0,30,10,0
22,22,0,22,11,0
27,28,0,28,9,0
22,38,0,38,7,0
52,66,1,65,13,1
23,26,0,26,11,0
18,21,0,21,4,0
7,12,0,12,6,0
36,45,1,44,13,1
21,21,0,21,11,0
7,11,0,11,4,0
19,22,0,22,9,0
37,39,0,39,13,0
24,24,0,24,10,0
26,35,1,34,6,1
24,27,0,27,8,0
43,52,1,51,8,1
30,35,0,35,9,0
20,24,0,24,12,0
19,22,0,22,7,0
5,17,1,16,2,1
21,23,0,23,8,0
15,20,0,20,7,0
21,30,2,28,8,1
25,26,0,26,12,0
46,49,0,49,16,0
35,50,0,50,13,0
22,23,0,23,8,0
16,24,0,24,8,0
19,27,0,27,8,0
34,37,0,37,9,0
30,33,0,33,14,0
26,28,0,28,11,0
33,38,0,38,8,0
25,25,0,25,12,0
26,30,0,30,9,0
25,25,0,25,10,0
27,38,1,37,11,1
28,30,0,30,7,0
22,24,0,24,11,0
11,17,0,17,6,0
45,59,0,59,16,0
25,25,0,25,10,0
20,26,0,26,10,0
17,17,0,17,7,0
46,58,0,58,12,0
15,37,0,37,5,0
15,25,1,24,6,1
20,26,0,26,8,0
16,22,0,22,8,0
26,28,0,28,11,0
22,32,0,32,8,0
51,59,0,59,10,0
31,34,0,34,14,0
19,25,0,25,8,0
14,22,0,22,10,0
59,74,0,74,13,0
22,30,0,30,9,0
31,34,0,34,11,0
23,25,0,25,11,0
9,15,0,15,4,0
22,27,0,27,7,0
29,47,0,47,6,0
33,38,0,38,11,0
25,25,0,25,7,0
37,41,0,41,9,0
35,40,1,39,7,1
34,37,0,37,14,0
37,40,0,40,12,0
23,30,0,30,11,0
20,21,0,21,8,0
26,29,1,28,13,1
36,45,0,45,12,0
16,22,0,22,3,0
42,54,1,53,12,1
42,48,0,48,10,0
20,20,0,20,11,0
44,54,0,54,9,0
27,32,0,32,9,0
26,29,0,29,12,0
23,41,1,40,5,1
19,23,0,23,7,0
20,28,0,28,9,0
25,41,0,41,8,0
33,34,0,34,12,0
24,35,1,34,15,1
55,81,0,81,15,0
27,36,0,36,14,0
46,56,0,56,11,0
31,31,0,31,10,0
25,26,0,26,10,0
11,29,0,29,3,0
21,23,0,23,9,0
24,29,0,29,9,0
17,21,0,21,7,0
21,24,0,24,7,0
19,36,0,36,6,0
18,25,1,24,8,1
13,17,0,17,6,0
19,23,0,23,11,0
20,23,0,23,11,0
33,44,0,44,11,0
29,31,0,31,6,0
29,36,1,35,8,1
51,65,0,65,7,0
21,21,0,21,10,0
27,29,2,27,10,1
17,24,0,24,5,0
16,22,0,22,9,0
30,31,0,31,9,0
27,27,0,27,13,0
33,36,0,36,12,0
57,68,0,68,13,0
21,21,0,21,9,0
24,28,0,28,8,0
21,23,0,23,11,0
11,14,0,14,5,0
22,28,0,28,9,0
23,30,0,30,9,0
47,51,0,51,16,0
24,30,0,30,9,0
49,51,0,51,13,0
34,39,0,39,10,0
15,21,0,21,7,0
22,26,0,26,7,0
14,20,0,20,6,0
60,68,0,68,13,0
21,21,1,20,10,1
33,33,0,33,12,0
12,14,0,14,8,0
21,26,0,26,10,0
31,56,0,56,8,0
68,75,0,75,12,0
17,24,0,24,10,0
23,28,0,28,11,0
22,23,0,23,9,0
21,35,0,35,11,0
19,22,0,22,12,0
28,30,1,29,14,1
24,30,0,30,11,0
33,36,1,35,11,1
18,23,0,23,8,0
52,62,0,62,10,0
21,26,0,26,9,0
27,40,0,40,11,0
26,29,0,29,8,0
18,26,0,26,8,0
16,20,0,20,6,0
26,28,0,28,6,0
29,30,0,30,14,0
21,21,0,21,7,0
16,21,0,21,7,0
38,66,0,66,14,0
20,22,0,22,11,0
34,42,0,42,8,0
31,35,1,34,13,1
15,22,0,22,5,0
41,52,0,52,12,0
50,57,0,57,13,0
19,22,0,22,6,0
42,46,0,46,11,0
22,24,0,24,8,0
24,27,2,25,11,2
70,78,3,75,15,2
18,27,0,27,4,0
21,26,0,26,8,0
18,27,0,27,8,0
16,24,0,24,8,0
21,31,0,31,5,0
17,23,0,23,8,0
22,30,0,30,10,0
40,46,0,46,12,0
19,26,0,26,9,0
35,48,0,48,8,0
36,41,0,41,18,0
25,25,0,25,13,0
6,24,0,24,4,0
24,27,0,27,10,0
18,24,0,24,8,0
17,30,0,30,5,0
18,25,0,25,5,0
14,23,0,23,7,0
19,22,0,22,8,0
24,28,1,27,7,1
13,31,0,31,6,0
12,21,0,21,2,0
32,40,3,37,9,2
27,31,2,29,9,1
21,26,0,26,10,0
10,29,0,29,3,0
30,57,0,57,14,0
25,34,1,33,9,1
39,39,0,39,16,0
33,36,1,35,9,1
27,28,0,28,12,0
42,46,1,45,17,1
75,89,0,89,17,0
20,23,0,23,9,0
31,31,0,31,13,0
29,33,0,33,11,0
16,18,0,18,9,0
42,49,0,49,10,0
23,23,0,23,9,0
65,76,1,75,16,1
25,33,0,33,11,0
16,19,1,18,10,1
27,39,0,39,12,0
13,36,0,36,7,0
26,29,0,29,10,0
35,37,0,37,7,0
39,46,0,46,11,0
34,59,0,59,10,0
19,21,0,21,10,0
40,41,0,41,14,0
21,23,0,23,10,0
34,50,0,50,12,0
19,21,0,21,5,0
27,29,0,29,11,0
22,25,0,25,9,0
52,63,0,63,14,0
15,22,0,22,9,0
26,29,0,29,10,0
31,40,0,40,12,0
30,34,0,34,14,0
21,25,0,25,9,0
26,29,0,29,11,0
35,37,0,37,11,0
23,23,0,23,12,0
27,39,0,39,7,0
23,26,0,26,12,0
28,38,0,38,10,0
27,29,0,29,13,0
25,30,0,30,7,0
22,22,0,22,9,0
50,59,0,59,13,0
24,25,0,25,10,0
20,29,0,29,10,0
22,28,1,27,7,1
40,51,0,51,10,0
20,22,0,22,8,0
47,57,2,55,16,1
27,37,0,37,7,0
25,37,0,37,7,0
33,41,1,40,11,1
26,28,0,28,8,0
17,26,0,26,6,0
12,21,0,21,5,0
71,86,0,86,16,0
33,38,0,38,10,0
18,21,0,21,7,0
45,54,0,54,13,0
20,23,0,23,9,0
37,41,0,41,11,0
20,21,0,21,5,0
49,59,0,59,11,0
22,24,0,24,9,0
37,38,0,38,11,0
27,28,0,28,11,0
27,31,0,31,8,0
25,26,0,26,13,0
29,35,0,35,10,0
31,34,0,34,9,0
61,69,1,68,13,1
26,33,0,33,7,0
37,39,0,39,14,0
24,32,0,32,11,0
32,34,0,34,10,0
21,24,0,24,9,0
37,41,1,40,12,1
19,33,0,33,7,0
32,52,0,52,6,0
21,30,0,30,9,0
17,23,0,23,10,0
22,31,0,31,6,0
28,37,1,36,9,1
21,24,0,24,11,0
31,37,0,37,10,0
20,21,0,21,8,0
26,26,0,26,12,0
53,77,0,77,18,0
22,31,0,31,6,0
20,21,0,21,11,0
23,23,0,23,7,0
16,20,0,20,7,0
28,34,1,33,10,1
60,79,3,76,18,2
113,137,0,137,19,0
51,63,1,62,13,1
38,50,0,50,10,0
30,34,3,31,12,1
19,24,0,24,11,0
21,21,1,20,10,1
6,30,0,30,2,0
24,26,0,26,12,0
30,30,0,30,12,0
25,25,0,25,10,0
25,38,0,38,10,0
27,31,0,31,11,0
6,6,0,6,4,0
20,20,0,20,9,0
29,31,0,31,11,0
25,28,0,28,7,0
26,29,0,29,10,0
24,26,0,26,14,0
20,22,0,22,11,0
26,60,0,60,8,0
19,22,0,22,9,0
14,27,0,27,9,0
26,31,0,31,8,0
24,43,0,43,5,0
54,55,0,55,11,0
26,28,1,27,9,1
17,29,1,28,5,1
16,52,3,49,8,3
22,23,0,23,11,0
19,23,0,23,9,0
25,27,0,27,12,0
23,24,1,23,11,1
4,31,0,31,2,0
27,32,0,32,10,0
22,28,0,28,5,0
27,28,0,28,9,0
21,26,0,26,11,0
54,63,0,63,13,0
23,24,0,24,8,0
38,40,0,40,11,0
13,21,0,21,5,0
28,31,0,31,11,0
33,34,0,34,13,0
26,28,0,28,7,0
39,42,0,42,10,0
27,37,0,37,9,0
18,21,1,20,8,1
15,16,0,16,7,0
17,26,1,25,7,1
22,25,0,25,9,0
41,43,0,43,13,0
21,28,0,28,11,0
31,34,0,34,12,0
15,18,0,18,6,0
21,23,1,22,10,1
24,27,0,27,8,0
31,35,0,35,11,0
32,35,1,34,10,1
22,23,1,22,9,1
43,60,0,60,8,0
28,39,0,39,8,0
19,20,0,20,7,0
14,20,0,20,8,0
27,33,0,33,6,0
69,73,1,72,18,1
18,23,0,23,6,0
32,38,1,37,10,1
45,60,0,60,14,0
27,28,0,28,10,0
31,34,0,34,12,0
20,25,0,25,7,0
26,32,0,32,8,0
19,23,1,22,9,1
23,25,0,25,13,0
27,28,0,28,13,0
24,31,0,31,10,0
25,37,0,37,7,0
21,23,0,23,9,0
31,37,0,37,9,0
63,74,0,74,19,0
